film,director,actor
Babygirl,Halina Reijn,Nicole Kidman
Babygirl,Halina Reijn,Harris Dickinson
Babygirl,Halina Reijn,Sophie Wilde
Babygirl,Halina Reijn,Antonio Banderas
A Big Case,Václav Kubásek  Josef Mach,Jaroslav Průcha  Vítězslav Boček  Helena Busová
Titanic (1997 film),James Cameron,Leonardo DiCaprio
Titanic (1997 film),James Cameron,Kate Winslet
Titanic (1997 film),James Cameron,Billy Zane
Titanic (1997 film),James Cameron,Kathy Bates
Titanic (1997 film),James Cameron,Frances Fisher
Titanic (1997 film),James Cameron,Bernard Hill
Titanic (1997 film),James Cameron,Jonathan Hyde
Titanic (1997 film),James Cameron,Danny Nucci
Titanic (1997 film),James Cameron,David Warner
Titanic (1997 film),James Cameron,Bill Paxton
Inception,Christopher Nolan,Leonardo DiCaprio
Inception,Christopher Nolan,Ken Watanabe
Inception,Christopher Nolan,Joseph Gordon-Levitt
Inception,Christopher Nolan,Marion Cotillard
Inception,Christopher Nolan,Elliot Page[a]
Inception,Christopher Nolan,Tom Hardy
Inception,Christopher Nolan,Cillian Murphy
Inception,Christopher Nolan,Tom Berenger
Inception,Christopher Nolan,Michael Caine
Interstellar (film),Christopher Nolan,Matthew McConaughey
Interstellar (film),Christopher Nolan,Anne Hathaway
Interstellar (film),Christopher Nolan,Jessica Chastain
Interstellar (film),Christopher Nolan,Bill Irwin
Interstellar (film),Christopher Nolan,Ellen Burstyn
Interstellar (film),Christopher Nolan,Michael Caine
Avatar (2009 film),James Cameron,Sam Worthington
Avatar (2009 film),James Cameron,Zoe Saldana
Avatar (2009 film),James Cameron,Stephen Lang
Avatar (2009 film),James Cameron,Michelle Rodriguez
Avatar (2009 film),James Cameron,Sigourney Weaver
The Dark Knight,Christopher Nolan,Christian Bale
The Dark Knight,Christopher Nolan,Michael Caine
The Dark Knight,Christopher Nolan,Heath Ledger
The Dark Knight,Christopher Nolan,Gary Oldman
The Dark Knight,Christopher Nolan,Aaron Eckhart
The Dark Knight,Christopher Nolan,Maggie Gyllenhaal
The Dark Knight,Christopher Nolan,Morgan Freeman
Joker (2019 film),Todd Phillips,Joaquin Phoenix
Joker (2019 film),Todd Phillips,Robert De Niro
Joker (2019 film),Todd Phillips,Zazie Beetz
Joker (2019 film),Todd Phillips,Frances Conroy
Gladiator (2000 film),Ridley Scott,Russell Crowe
Gladiator (2000 film),Ridley Scott,Joaquin Phoenix
Gladiator (2000 film),Ridley Scott,Connie Nielsen
Gladiator (2000 film),Ridley Scott,Oliver Reed
Gladiator (2000 film),Ridley Scott,Derek Jacobi
Gladiator (2000 film),Ridley Scott,Djimon Hounsou
Gladiator (2000 film),Ridley Scott,Richard Harris
The Godfather,Francis Ford Coppola,Marlon Brando
The Godfather,Francis Ford Coppola,Al Pacino
The Godfather,Francis Ford Coppola,James Caan
The Godfather,Francis Ford Coppola,Richard Castellano
The Godfather,Francis Ford Coppola,Robert Duvall
The Godfather,Francis Ford Coppola,Sterling Hayden
The Godfather,Francis Ford Coppola,John Marley
The Godfather,Francis Ford Coppola,Richard Conte
The Godfather,Francis Ford Coppola,Diane Keaton
Pulp Fiction,Quentin Tarantino,John Travolta
Pulp Fiction,Quentin Tarantino,Samuel L. Jackson
Pulp Fiction,Quentin Tarantino,Uma Thurman
Pulp Fiction,Quentin Tarantino,Harvey Keitel
Pulp Fiction,Quentin Tarantino,Tim Roth
Pulp Fiction,Quentin Tarantino,Amanda Plummer
Pulp Fiction,Quentin Tarantino,Maria de Medeiros
Pulp Fiction,Quentin Tarantino,Ving Rhames
Pulp Fiction,Quentin Tarantino,Eric Stoltz
Pulp Fiction,Quentin Tarantino,Rosanna Arquette
Pulp Fiction,Quentin Tarantino,Christopher Walken
Pulp Fiction,Quentin Tarantino,Bruce Willis
Fight Club,David Fincher,Brad Pitt
Fight Club,David Fincher,Edward Norton
Fight Club,David Fincher,Helena Bonham Carter
Fight Club,David Fincher,Meat Loaf Aday
Fight Club,David Fincher,Jared Leto
Forrest Gump,Robert Zemeckis,Tom Hanks
Forrest Gump,Robert Zemeckis,Robin Wright
Forrest Gump,Robert Zemeckis,Gary Sinise
Forrest Gump,Robert Zemeckis,Mykelti Williamson
Forrest Gump,Robert Zemeckis,Sally Field
The Matrix,The Wachowskis[a],Keanu Reeves
The Matrix,The Wachowskis[a],Laurence Fishburne
The Matrix,The Wachowskis[a],Carrie-Anne Moss
The Matrix,The Wachowskis[a],Hugo Weaving
The Matrix,The Wachowskis[a],Joe Pantoliano
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Elijah Wood
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Ian McKellen
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Liv Tyler
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Viggo Mortensen
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Sean Astin
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Cate Blanchett
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,John Rhys-Davies
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Billy Boyd
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Dominic Monaghan
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Orlando Bloom
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Christopher Lee
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Hugo Weaving
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Sean Bean
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Ian Holm
The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,Andy Serkis
The Lord of the Rings: The Two Towers,Peter Jackson,Elijah Wood
The Lord of the Rings: The Two Towers,Peter Jackson,Ian McKellen
The Lord of the Rings: The Two Towers,Peter Jackson,Liv Tyler
The Lord of the Rings: The Two Towers,Peter Jackson,Viggo Mortensen
The Lord of the Rings: The Two Towers,Peter Jackson,Sean Astin
The Lord of the Rings: The Two Towers,Peter Jackson,Cate Blanchett
The Lord of the Rings: The Two Towers,Peter Jackson,John Rhys-Davies
The Lord of the Rings: The Two Towers,Peter Jackson,Bernard Hill
The Lord of the Rings: The Two Towers,Peter Jackson,Christopher Lee
The Lord of the Rings: The Two Towers,Peter Jackson,Billy Boyd
The Lord of the Rings: The Two Towers,Peter Jackson,Dominic Monaghan
The Lord of the Rings: The Two Towers,Peter Jackson,Orlando Bloom
The Lord of the Rings: The Two Towers,Peter Jackson,Hugo Weaving
The Lord of the Rings: The Two Towers,Peter Jackson,Miranda Otto
The Lord of the Rings: The Two Towers,Peter Jackson,David Wenham
The Lord of the Rings: The Two Towers,Peter Jackson,Brad Dourif
The Lord of the Rings: The Two Towers,Peter Jackson,Karl Urban
The Lord of the Rings: The Two Towers,Peter Jackson,Andy Serkis
The Lord of the Rings: The Return of the King,Peter Jackson,Elijah Wood
The Lord of the Rings: The Return of the King,Peter Jackson,Ian McKellen
The Lord of the Rings: The Return of the King,Peter Jackson,Liv Tyler
