"film","director","actor"
"http://dbpedia.org/resource/1984_(2023_film)","http://dbpedia.org/resource/Diana_Ringo","http://dbpedia.org/resource/Aleksandr_Obmanov"
"http://dbpedia.org/resource/1984_(2023_film)","http://dbpedia.org/resource/Diana_Ringo","http://dbpedia.org/resource/Diana_Ringo"
"http://dbpedia.org/resource/80s_Buildup","http://dbpedia.org/resource/Kalyaan","http://dbpedia.org/resource/R._Sundarrajan"
"http://dbpedia.org/resource/80s_Buildup","http://dbpedia.org/resource/Kalyaan","http://dbpedia.org/resource/Santhanam_(actor)"
"http://dbpedia.org/resource/80s_Buildup","http://dbpedia.org/resource/Kalyaan","http://dbpedia.org/resource/K._S._Ravikumar"
"http://dbpedia.org/resource/80s_Buildup","http://dbpedia.org/resource/Kalyaan","http://dbpedia.org/resource/Radhika_Preethi"
"http://dbpedia.org/resource/A_Big_Case","http://dbpedia.org/resource/Josef_Mach","http://dbpedia.org/resource/Vítězslav_Boček"
"http://dbpedia.org/resource/A_Big_Case","http://dbpedia.org/resource/Josef_Mach","http://dbpedia.org/resource/Helena_Bušová"
"http://dbpedia.org/resource/A_Big_Case","http://dbpedia.org/resource/Josef_Mach","http://dbpedia.org/resource/Jaroslav_Průcha"
"http://dbpedia.org/resource/A_Big_Case","http://dbpedia.org/resource/Václav_Kubásek","http://dbpedia.org/resource/Vítězslav_Boček"
"http://dbpedia.org/resource/A_Big_Case","http://dbpedia.org/resource/Václav_Kubásek","http://dbpedia.org/resource/Helena_Bušová"
"http://dbpedia.org/resource/A_Big_Case","http://dbpedia.org/resource/Václav_Kubásek","http://dbpedia.org/resource/Jaroslav_Průcha"
"http://dbpedia.org/resource/A_Bird_of_Heaven","http://dbpedia.org/resource/Imre_Fehér","http://dbpedia.org/resource/Ferenc_Kiss_(actor)"
"http://dbpedia.org/resource/A_Bird_of_Heaven","http://dbpedia.org/resource/Imre_Fehér","http://dbpedia.org/resource/Ádám_Szirtes"
